runtime,model_bytes,model_mib,tokenizer_bytes,tokenizer_mib,tokenizer_model_bytes,tokenizer_config_bytes,deployment_manifest_bytes,estimated_total_bytes,estimated_total_mib
ONNX_FP32,470268685,448.4831666946411,17083159,16.291769981384277,17082735,424,3526,487355370,464.77829933166504
ONNX_INT8,118129688,112.6572494506836,17083159,16.291769981384277,17082735,424,3526,135216373,128.95238208770752
